"AveExpr"	"LogFC_MouseC2C12"	"FDR_MouseC2C12"	"LogFC_HumanCell"	"FDR_HumanCell"	"LogFC_mean"
"CISD1"	2.94291252914503	2.43477255878672	2.19058557684587e-12	2.97791852815331	1.13282390843205e-18	5.41269108694003
"FDPS"	2.93942980111684	1.01803047922501	0.000351700615971698	2.33008452463361	1.69661094862592e-15	3.34811500385862
"AABR07041481.1"	2.93499728396788	-1.91878272029091	0.00373101366872108	-1.71052143223447	0.00723362388484641	-3.62930415252537
"SAE1"	2.92882177771812	2.58628350957712	2.7668599795171e-34	0.988877320693807	2.3281436711182e-13	3.57516083027093
"STUB1"	2.92324781639196	1.4469063221284	5.34927308375958e-12	1.90934074522027	7.01866487101186e-20	3.35624706734866
"HERPUD1"	2.92271559037371	-1.94853509084529	1.30511985612619e-11	-1.40361795437887	1.14886222438152e-08	-3.35215304522416
"LMO7"	2.92079653599616	2.12812666482163	2.30179274775827e-10	1.21469298137875	1.50517953009663e-05	3.34281964620039
"NAA50"	2.90934806083112	-1.62840802202598	1.61487425619889e-07	-1.9780930947878	1.1553691610596e-13	-3.60650111681378
"HMGB1"	2.90787189150891	2.30734459347307	2.8607700868893e-07	1.68553480639633	1.62613155060374e-05	3.99287939986941
"USP14"	2.90680821085526	3.29556839138245	5.85270251289667e-28	1.20679331048467	2.2252004104685e-09	4.50236170186712
"EIF2S2"	2.90181124985887	3.33111877019862	1.35408193177395e-13	1.62729876533436	6.69183849917103e-06	4.95841753553297
"GM10320"	2.90094533293981	4.71838774301449	1.23019075569224e-14	1.07100150475811	8.50934762698358e-06	5.7893892477726
"UQCRQ"	2.9007048371445	1.35524260997306	0.0129803099474368	1.72478947130854	0.000404328943078591	3.0800320812816
"SERBP1"	2.89542361926204	4.40801735055247	5.46419003617231e-16	3.31040764076187	7.75655059527992e-13	7.71842499131434
"DNAJA2"	2.89451688423977	1.48943532001038	5.51824270672707e-07	2.6683028978255	7.51796268614797e-18	4.15773821783589
"YWHAH"	2.89338751691979	2.39773962077387	8.70621159774957e-13	1.61728528892312	9.86672510589607e-09	4.01502490969699
"ACSL3"	2.8915070943197	1.80486154352425	1.50815002034157e-11	1.23821283944313	1.21646904581928e-09	3.04307438296738
"NFE2L1"	2.8880306702632	-3.44467789536039	8.25153099319874e-42	-3.68238309026722	4.28789937208784e-48	-7.12706098562761
"RNF115"	2.88621134007393	2.11810684129371	8.70962278010002e-20	1.94578348258205	1.3286965520282e-23	4.06389032387576
"HIF1A"	2.87575674347201	-1.30105256108656	1.53596782115485e-07	-4.50659660850144	1.21032403557276e-37	-5.807649169588
"SDHD"	2.87227557807415	1.16943581403895	3.06023929015609e-08	1.74264363922465	1.33216343041939e-16	2.9120794532636
"CDC42EP3"	2.87189521308802	-1.75827496630696	1.48747964629411e-15	-1.77550517748422	5.18622614922521e-21	-3.53378014379117
"CLSTN1"	2.85249777863808	2.0646993410438	2.37375896632282e-13	1.41413637548284	4.3984432650784e-11	3.47883571652664
"NDUFS6"	2.8516258525951	1.07638307045382	0.0116202486740238	2.53898202874623	6.95269396806715e-10	3.61536509920005
"TAX1BP1"	2.843980562234	2.85931337327907	1.3225960852867e-21	0.881334855150681	3.11516372431927e-05	3.74064822842975
"HNRNPH1"	2.84380095292284	1.20720955431776	3.94339813383253e-08	3.13834164747122	3.66814258080475e-28	4.34555120178898
"AMOTL2"	2.84374479692087	2.21918480968331	4.34223105096382e-09	2.55884694503455	6.53111568970693e-13	4.77803175471787
"ATP5E"	2.8411638644226	1.48481825538153	2.45483980616662e-09	3.38591340781642	1.5296631232785e-29	4.87073166319796
"ATP5F1E"	2.8411638644226	1.48481825538153	2.45483980616662e-09	3.38591340781642	1.5296631232785e-29	4.87073166319796
"SERF2"	2.83120859091069	2.68545148934227	1.34024077796856e-07	3.2321692780154	1.55952054382326e-11	5.91762076735767
"AVPI1"	2.82020924839739	1.36672521736837	2.64592001849004e-12	2.21182379463643	3.32253390718829e-25	3.5785490120048
"HIBADH"	2.82014827836409	3.57181570687729	1.49937796368315e-53	2.35853716838607	9.0063235894412e-44	5.93035287526336
"CD82"	2.81732785336411	1.6392505155059	4.61899675142992e-10	2.20645857314451	1.85805794862847e-17	3.84570908865041
"SEC23A"	2.792025679572	-3.88791198330371	9.4340090336221e-11	-5.12288609055515	2.37925259129686e-15	-9.01079807385887
"NEWGENE_1310561"	2.78303298498	2.20692338046537	1.16573421291984e-16	4.08415200488276	2.98163275812492e-36	6.29107538534814
"PDCD5"	2.78303298498	2.20692338046537	1.16573421291984e-16	4.08415200488276	2.98163275812492e-36	6.29107538534814
"CRABP2"	2.78078896704742	3.56288866412992	1.44113890529286e-24	5.31123046796251	5.88139799996177e-40	8.87411913209242
"GM7075"	2.77832448780223	5.03531981690075	1.98076818142775e-24	2.63384792461796	1.04811986326584e-27	7.66916774151871
"CAVIN2"	2.77813474582399	2.97498590439645	8.19410563593486e-14	4.28036971300423	1.09041418663253e-24	7.25535561740068
"SELENOK"	2.77435726575648	1.77063581188805	2.05167602378095e-05	2.44000735526297	4.36682810667023e-10	4.21064316715102
"HNRNPL"	2.76068047462174	3.29479804452756	5.66008930549713e-22	1.4231296023569	1.30764373541712e-08	4.71792764688447
"EIF3K"	2.75678231036434	-2.08853479600753	3.26747013659753e-20	-2.2867554174737	1.50179698967418e-25	-4.37529021348123
"PDAP1"	2.73952969895029	2.4024675884466	4.02806392202392e-38	4.25028243675911	2.84375798584553e-61	6.65275002520571
"DMPK"	2.73825661331066	1.91406501379622	3.2009936801978e-07	1.53748563534053	2.92099826645213e-06	3.45155064913675
"CTSL"	2.72569388859336	1.23071592634319	0.00053268770728601	4.49082965490277	2.44297894901055e-25	5.72154558124596
"CPE"	2.71778351951853	1.88662657165416	4.07801047381917e-12	4.74309642047696	3.12545759645869e-38	6.62972299213112
"CTNNB1"	2.71700278255611	-1.84611327718186	1.46914233528419e-06	-1.08508614134934	0.00101788384890087	-2.93119941853119
"TOMM7"	2.71030195582976	2.29239545830155	1.52569708725342e-07	1.28434296948297	0.00105115136426086	3.57673842778452
"CYCS"	2.70398906050842	2.48359140030409	2.7498898651619e-08	1.74704429925531	6.30581521592655e-06	4.2306356995594
"CD81"	2.70295091277221	-4.2256073094072	5.11635414445748e-10	-2.98101160433674	3.13050733414156e-07	-7.20661891374394
"MPRIP"	2.70230455530347	1.46470960501536	6.98803565679916e-07	1.79241474998874	1.01070498123626e-10	3.2571243550041
"CBX3"	2.70195031707908	3.27846139907516	4.41592445855994e-30	1.82855489881891	4.18835974141985e-18	5.10701629789406
"ATP6AP2"	2.69534760294161	-1.91883868054911	4.84081352665488e-09	-2.17944099154477	1.35300248319082e-12	-4.09827967209388
"TAF9"	2.69389756614477	1.07081976945673	0.00202687531381023	1.96122514140768	1.49512740049865e-08	3.03204491086442
"ESD"	2.69014263355897	2.26917515746271	6.57240907592237e-12	1.62175639081337	8.50039849938384e-09	3.89093154827608
"OLFML3"	2.66672373617449	3.42283374446731	1.81593874459011e-12	0.715779352557878	0.032642084892903	4.13861309702519
"RAB1B"	2.66210590417244	-1.03273920739203	2.48524727699867e-05	-2.10212841329313	4.36100203305539e-19	-3.13486762068517
"MYL2"	2.65644066748168	-4.48147065807933	0.000776638741753284	-7.09557576980228	2.56542014230646e-07	-11.5770464278816
