"AveExpr"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_HumanCell"	"FDR_HumanCell"	"LogFC_mean"
"OST4"	2.63319251745584	-2.12427372090135	1.21824689180747e-05	-3.37842067149391	2.88346305958893e-08	-5.50269439239526
"SLN"	2.63187428318669	-5.76211110839946	7.84634172049044e-21	-6.34845762731166	8.58949064611248e-23	-12.1105687357111
"PLK2"	2.62481368143077	2.12743072333659	3.33653192285386e-18	1.1692838652352	5.65824623669611e-08	3.29671458857178
"VPS26A"	2.61874091501007	2.95643515702439	2.17574873384914e-06	0.919164844897756	0.000606252651665401	3.87560000192215
"SCRN1"	2.61362004492941	-1.68055628796488	5.29597016053795e-17	-1.9844069295178	2.6784386904631e-20	-3.66496321748268
"GM21974"	2.60547033647329	-2.3883546489744	8.73948183004381e-19	-2.57594392513453	4.18005479824921e-20	-4.96429857410894
"ANK"	2.58574391516217	2.48068579131673	9.54415254114105e-16	2.63513774512218	1.2890622946058e-16	5.11582353643891
"ANKH"	2.58574391516217	2.48068579131673	9.54415254114105e-16	2.63513774512218	1.2890622946058e-16	5.11582353643891
"DAG1"	2.58375311361808	2.14673622948063	1.30924974281788e-28	1.47112360300044	5.09262371159961e-19	3.61785983248107
"DPM1"	2.58075698131336	-1.40268727868234	8.84519096780245e-15	-2.23909881635512	1.92081406056625e-25	-3.64178609503746
"GOLGA7"	2.58003864610548	-1.86769074484344	1.60987558839888e-07	-1.19415982539674	0.000477779029476395	-3.06185057024018
"CBFB"	2.57470536380708	1.5197433413869	6.20245057052222e-16	2.14810012101292	1.70977051792571e-23	3.66784346239982
"PRDX6B"	2.57255161374715	-4.29838258201914	1.36397709138419e-27	-6.38982499346552	6.00724467977165e-39	-10.6882075754847
"IDH3G"	2.56061714957182	-2.09125385901654	7.23185802267931e-12	-1.60494976068191	5.21209027436176e-08	-3.69620361969846
"NME1"	2.55592659889204	-1.74953723032037	1.88314605765866e-08	-1.83907621795183	7.31281648888131e-09	-3.5886134482722
"HP1BP3"	2.54438251317314	-1.71467805220432	2.94476815355385e-14	-2.31213201692695	3.33149646248147e-20	-4.02681006913127
"PACSIN2"	2.54261271525745	3.22418193606406	7.11973574829115e-35	3.75751645545728	9.43071588024988e-38	6.98169839152134
"EBNA1BP2"	2.53864031090807	-1.54386914351379	1.32764206965241e-08	-1.32219475201622	2.37714775516846e-06	-2.86606389553
"SDHA"	2.52158885141596	-2.62186407002414	1.60747055243144e-13	-1.38792986285306	1.97254492754664e-05	-4.0097939328772
"RGD1561590"	2.5152149003877	-2.74399046713938	2.0099346318334e-09	-1.03371244854947	0.014857067389307	-3.77770291568885
"SAP18"	2.5152149003877	-2.74399046713938	2.0099346318334e-09	-1.03371244854947	0.014857067389307	-3.77770291568885
"AABR07061825.1"	2.51283316571635	-2.16630609734958	0.0442989067461227	-3.05088462320394	1.45033452134375e-08	-5.21719072055353
"VAMP7"	2.51119454122225	-2.55478223626692	4.38907807203022e-13	-2.78826542560484	2.40028285554895e-14	-5.34304766187176
"TTC3"	2.50279341738162	-1.95287194775157	4.96515340494489e-19	-1.58073082746051	2.82453641667214e-14	-3.53360277521209
"PTEN"	2.50140908629027	-1.4176747856703	5.15612123160152e-09	-1.8537301551867	9.38831999181127e-13	-3.271404940857
"IQGAP1"	2.49509000126116	-1.09268747359676	3.77396206194718e-05	-2.11984068874403	5.47025303835259e-13	-3.21252816234079
