"AveExpr"	"LogFC_MouseC2C12"	"FDR_MouseC2C12"	"LogFC_RatL6"	"FDR_RatL6"	"LogFC_mean"
"PARVA"	3.01028942194706	2.17673746688777	4.87021232636578e-10	1.59221608088187	2.69321775685156e-09	3.76895354776964
"AC010132.3"	3.00129965170106	-2.6367270900483	2.08480262515937e-28	-2.49105518221851	3.94867210160455e-30	-5.12778227226681
"CAP2"	2.99632155399702	2.05967105188038	5.08091719174536e-12	1.82800105854272	2.18334296173511e-14	3.8876721104231
"WSB2"	2.99338387987568	2.45499070942897	3.02221306268086e-25	1.97017004219678	4.21587018959591e-23	4.42516075162575
"MLLT11"	2.98875061218509	2.90773842156679	1.58592864861638e-12	2.37525710042773	1.95689410571133e-11	5.28299552199453
"CD9"	2.98569516019678	-2.86904183828277	3.10201690726827e-22	-1.98749203076519	6.36152003520884e-17	-4.85653386904796
"CAPRIN1"	2.97299091845498	1.90988878620244	8.95883984899592e-13	1.07830952633324	9.18877420492624e-07	2.98819831253569
"ECH1"	2.96672276526264	1.26198966452146	5.26230377481642e-14	1.61115497434948	2.56779443361002e-22	2.87314463887094
"EFEMP2"	2.95270853301831	1.4553062616011	2.08184737645537e-09	1.4732560672672	1.65154357922973e-13	2.92856232886829
"GSTO1"	2.95267223762737	-1.71547145544291	1.70188345913487e-06	-2.68733893597986	1.39006224838532e-14	-4.40281039142277
"MAT2A"	2.95054164960997	1.07656551192519	1.87375424603066e-05	2.4020382908534	1.92359160612805e-19	3.47860380277859
"CYR61"	2.94918829758768	1.99671267088676	2.83868640239493e-09	1.07193815572875	0.000113929164833188	3.06865082661551
"IGFBP4"	2.94437278178876	3.87232834000552	2.62476717034983e-32	2.36440635281329	1.68200812960937e-22	6.23673469281881
"FDPS"	2.93942980111684	-1.3120540454086	8.17879853653967e-06	-2.33008452463361	1.69661094862592e-15	-3.64213857004222
"FAM129B"	2.93850399016262	-1.62856673549151	1.89932111499899e-11	-1.63804180831872	4.4566903257979e-16	-3.26660854381023
"NEK7"	2.93532614030567	2.05470415457873	1.26789032099568e-12	2.28908572811748	2.61477311121139e-17	4.34378988269621
"UQCRC1"	2.93427027599726	-2.69859832635625	2.81239638752353e-22	-2.46974611359255	1.58803025764835e-23	-5.1683444399488
"TM9SF3"	2.92691799739434	2.7004622131292	6.85689640177284e-10	1.40731122386427	0.000119155802522659	4.10777343699347
"AABR07048308.1"	2.92634914787622	2.85904245049059	3.61617402753371e-20	3.55498083815648	3.50740680122977e-11	6.41402328864706
"GREM1"	2.92456638319641	2.94582737360173	9.21619097327654e-17	2.84447925269999	1.79313242593041e-18	5.79030662630172
"GM10184"	2.8989724504097	2.46254122581729	2.46495034835677e-09	1.18456468426828	0.000260873436960409	3.64710591008557
